ID	author_ids	author_names_en	author_names_ur	category_ids	category_names_en	category_names_ur	epub_fn	title_en	title_ur	published_year	volume	isbn
2861	3087	M.J. Warsi	ایم جے وارثی	11	Language and Linguistics	زبان ولسانیات	ba545557-3cec-4f35-ae72-d6ae0a96820a.epub	Zuban-O-Tarseel	زبان و ترسیل	201ً5		8466252493337
2862	3088	Haneef Naqvi	حنیف نقوی	10	Research and Criticism	تحقیق و تنقید	73477170-60e4-41cb-959c-42d3aa29d9bf.epub	Tahqeeq-O-Taaruf	حنیف نقوی	2013		3590154264766
2863	3089	Ansar Ahmad Marufi	انصار احمد معروفی	23	Laws	قانون	6660bd1c-8c1d-402f-8a96-c1596f36b217.epub	Khawateen Ki Ikhtiyarkari wa Sinfi Masawat	خواتین کی اختیارکاری وصنفی مساوات	2017		0497038402171
2864	3090	Dr. Husain Faruqi	ڈاکٹر حسین فاروقی	20	Medicine and Therapies	طب ومعالجات	c71e37d3-9bda-42a0-b872-04cb8d920c3f.epub	Chand Aam Bemariyan	چند عام بیماریاں	2002		1775813007892
2865	3091	Authors	مصنّفین	11	Language and Linguistics	زبان ولسانیات	9b6b9290-8f28-4c0d-9862-d687d18e4943.epub	Dars-e-Balaghat	درسِ بلاغت	2009		0423983700114
2866	3092	Sadeeduddeen Muhammad Aufi	سدیدالدین محمد عوفی	15	Sociology and Religion	سماجیات اور مذہب	de68782c-14c6-4714-a3eb-14c56e91dce1.epub	Jawmeul Hikayaat & Wameur Riwayaat	جوامع الحکایات ولوامع الروایات		1	4861314853801
2867	3093	Ataur Rahman Qasmi	عطاء الرحمن قاسمی	12	Kulliyat	کلیات	70bfeabf-27ad-48fe-b1cd-2c4d2753861d.epub	Kulliyate Majidi	کلیات ماجدی	2014	2	0738891745842
2868	3094	Prof. Fazle Imam	پروفیسر فضلِ امام	12	Kulliyat	کلیات	20e9cb8d-972c-4512-97d1-226fc58e9194.epub	Kulliyat-e-Mekash Akbarabadi	کلیات میکش اکبرآبادی	2017		8626114651359
2869	3095	Noorul Hasan Naqvi	نور الحسن نقوی	12	Kulliyat	کلیات	99dd4f38-76a5-4661-b3b8-046f243c7663.epub	Kulliyat-e-Musahfi	کلیات مصحفی	2013	9	2289621405101
2870	3096	Muslim Saleem	مسلم سلیم	12	Kulliyat	کلیات	62f87a75-84b2-4771-9b9a-114403d357be.epub	Kulliyat-e-Saleem Wahid Saleem	کلیاتِ سلیم واحد سلیم	2014		1447586801176
2871	3097	Raghu Nath Ghai	رگھو ناتھ گھئی	11	Language and Linguistics	زبان ولسانیات	8b1d5d40-c612-490d-9946-b5fc703ad537.epub	Lamat-e-Baseerat	لمعات بصیرت			8505815163100
2872	3098	Meer Taqi Meer	میر تقی میر	12	Kulliyat	کلیات	4c2b5959-b4a1-4862-8779-b3c7ce1cb8c3.epub	Kulliyat-e-Meer	کلّیاتِ میر	2003		9935406931439
2873	3099	Khushtar Noorani	خوشتر نورانی	10	Research and Criticism	تحقیق و تنقید	5759bf33-eb22-43f7-bd85-c0d801926cb7.epub	Allama Fazle Haq Khairabadi, Chand Unwanaat	علامہ فضلِ حق خیرآبادی، چند عنوانات	2013		6955927204000
2874	3100	Dr. Rafiuddin Naser	ڈاکٹر رفیع الدین ناصر	18	Science, Technology and Geography	سائنس، تکنیک  جغرافیہ	385d3f9d-6858-443e-8d0f-beb900f6d1ea.epub	Fizai Aludgi	فضائی آلودگی	2015		3177343733219
2875	3101	Najma Zaheer Baquer	نجمہ ظہیر	12	Kulliyat	کلیات	6baaf041-e9f7-41d1-861c-3feb88efb383.epub	Kulliyat-e-Sajjad Zaheer,Roshnai	کلیات سجّاد ظہیر، روشنائی	2013	1	4210993213546
2876	3102	Mateen Achalpuri	متین اچلپوری	18	Science, Technology and Geography	سائنس، تکنیک  جغرافیہ	fbbc1228-aa6d-4144-87d2-84ceb25324ee.epub	Maholnama	ماحول نامہ	2016		1280195368557
2877	3103	Dr Anees Siddiqui	ڈاکٹر انیس صدیقی	26	Library Science, Bibliographies & General Knowledge	کتب خانہ داری و کتابیات	f0fc8dab-58d1-4b55-8882-a9624dea4841.epub	SHAB KHOON Ka Tauzeehi Ishariya	شب خون کا توضیحی اشاریہ	2017	2	5941059517461
2878	3104	Dr Anees Siddiqui	ڈاکٹر انیس صدیقی	26	Library Science, Bibliographies & General Knowledge	کتب خانہ داری و کتابیات	e73c92e5-b448-43d1-b436-96fd9f194e29.epub	SHAB KHOON Ka Tauzeehi Ishariya	شب خون کا توضیحی اشاریہ	2017	1	8997306932735
2879	3105	Abdul Wadood Ansari	عبدالودود انصاری	18	Science, Technology and Geography	سائنس، تکنیک  جغرافیہ	f351dedb-7533-4e69-b2cc-7f685929bf5f.epub	AWRAQ-E-SCIENCE	اوراق سائنس			8736291613889
2880	3106 :: 3107	Abra Husni Ginnori ::  Shams Ramzi	ابرا حسنی گنوری ::  شمس رمزی	11	Language and Linguistics	زبان ولسانیات	ec9abfdb-8da2-4456-99c1-87804333dc7c.epub	Islahul Islah	اصلاح الاصلاح	2017		6086585385951
2881	3108 :: 3109	Prof. Akhtarul Wasey ::  Dr.Mohammad Arshad	پروفیسر اخترالواسع ::  ڈاکٹر محمد ارشد	15	Sociology and Religion	سماجیات اور مذہب	7b368049-ecd4-4bfa-8287-9a2abcb9255b.epub	Islam Taaruf O Tareekh	اسلام تعارف و تاریخ	201ٓ5		1278539134792
2882	3110	Dhirendra Singh Jafa	دھیریندر سنگھ جفا	3	Non-Fiction	غیر افسانوی ادب	63f343bd-bd26-4886-89a1-e4b5d8396728.epub	Jitne Door Utne Paas	جتنے دور اُتنے پاس	2018		5670965218124
